rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
199,frame_0113.jpg,45.2,0.3427,0.4395,0.25,0.24,6,2,False,False
200,frame_0082.jpg,32.8,0.3395,0.257,0.25,0.68,6,2,False,False
201,frame_0212.jpg,84.8,0.3374,0.3598,0.125,0.6,2,1,False,False
202,frame_0304.jpg,121.6,0.3364,0.3949,0.25,0.32,6,2,False,False
203,frame_0104.jpg,41.6,0.3344,0.3957,0.375,0.12,4,3,False,False
204,frame_0282.jpg,112.8,0.3333,0.3246,0.25,0.48,5,2,False,False
205,frame_0101.jpg,40.4,0.3307,0.4794,0.25,0.08,4,2,False,False
206,frame_0308.jpg,123.2,0.3272,0.3654,0.375,0.16,7,3,False,False
207,frame_0215.jpg,86.0,0.3253,0.3086,0.25,0.48,4,2,False,False
208,frame_0395.jpg,158.0,0.3216,0.3702,0.375,0.12,7,3,False,False
209,frame_0109.jpg,43.6,0.3208,0.3846,0.375,0.08,7,3,False,False
210,frame_0309.jpg,123.6,0.3206,0.3683,0.375,0.12,6,3,False,False
211,frame_0393.jpg,157.2,0.3153,0.3896,0.375,0.04,5,3,False,False
212,frame_0094.jpg,37.6,0.3126,0.3952,0.25,0.2,5,2,False,False
213,frame_0385.jpg,154.0,0.311,0.3919,0.25,0.2,5,2,False,False
214,frame_0100.jpg,40.0,0.3084,0.4508,0.25,0.04,6,2,False,False
215,frame_0303.jpg,121.2,0.3068,0.3195,0.25,0.36,5,2,False,False
216,frame_0310.jpg,124.0,0.3032,0.4244,0.25,0.08,4,2,False,False
217,frame_0198.jpg,79.2,0.2999,0.3488,0.125,0.44,2,1,False,False
218,frame_0372.jpg,148.8,0.2996,0.4012,0.25,0.12,6,2,False,False
219,frame_0194.jpg,77.6,0.2995,0.3371,0.25,0.28,6,2,False,False
220,frame_0221.jpg,88.4,0.2977,0.3495,0.25,0.24,6,2,False,False
221,frame_0196.jpg,78.4,0.2967,0.3743,0.125,0.36,2,1,False,False
222,frame_0268.jpg,107.2,0.2959,0.3348,0.375,0.08,5,3,False,False
223,frame_0195.jpg,78.0,0.2939,0.3099,0.25,0.32,3,2,False,False
224,frame_0222.jpg,88.8,0.2903,0.3506,0.25,0.2,5,2,False,False
225,frame_0272.jpg,108.8,0.2893,0.3967,0.25,0.08,2,2,False,False
226,frame_0394.jpg,157.6,0.2848,0.3127,0.375,0.08,7,3,False,False
227,frame_0085.jpg,34.0,0.2824,0.2658,0.125,0.56,3,1,False,False
228,frame_0172.jpg,68.8,0.2822,0.2543,0.25,0.4,5,2,False,False
229,frame_0325.jpg,130.0,0.281,0.321,0.375,0.04,6,3,False,False
230,frame_0267.jpg,106.8,0.2802,0.3624,0.25,0.12,6,2,False,False
231,frame_0009.jpg,3.6,0.28,0.16,0.0,1.0,2,0,False,False
232,frame_0201.jpg,80.4,0.2788,0.2586,0.125,0.56,4,1,False,False
233,frame_0108.jpg,43.2,0.2763,0.3866,0.25,0.04,7,2,False,False
234,frame_0273.jpg,109.2,0.2699,0.3417,0.25,0.12,4,2,False,False
235,frame_0371.jpg,148.4,0.2659,0.3498,0.25,0.08,5,2,False,False
236,frame_0191.jpg,76.4,0.2628,0.3115,0.25,0.16,4,2,False,False
237,frame_0217.jpg,86.8,0.2566,0.2782,0.125,0.4,4,1,False,False
238,frame_0086.jpg,34.4,0.2545,0.2259,0.125,0.52,5,1,False,False
239,frame_0190.jpg,76.0,0.2545,0.4609,0.0,0.12,3,0,False,False
240,frame_0103.jpg,41.2,0.2542,0.2944,0.25,0.16,4,2,False,False
241,frame_0311.jpg,124.4,0.2536,0.3413,0.25,0.04,3,2,False,False
242,frame_0192.jpg,76.8,0.2517,0.2734,0.25,0.2,5,2,False,False
243,frame_0180.jpg,72.0,0.2467,0.3114,0.25,0.08,5,2,False,False
244,frame_0119.jpg,47.6,0.2447,0.2223,0.125,0.48,5,1,False,False
245,frame_0092.jpg,36.8,0.2397,0.2923,0.125,0.28,3,1,False,False
246,frame_0399.jpg,159.6,0.2376,0.2881,0.125,0.28,7,1,False,False
247,frame_0102.jpg,40.8,0.23,0.337,0.125,0.12,3,1,False,False
248,frame_0097.jpg,38.8,0.2283,0.2747,0.25,0.08,7,2,False,False
249,frame_0083.jpg,33.2,0.2228,0.1896,0.0,0.64,4,0,False,False
250,frame_0093.jpg,37.2,0.2208,0.2706,0.125,0.24,5,1,False,False
251,frame_0382.jpg,152.8,0.2192,0.2563,0.25,0.08,4,2,False,False
252,frame_0381.jpg,152.4,0.2151,0.3391,0.125,0.04,6,1,False,False
253,frame_0383.jpg,153.2,0.1993,0.2755,0.125,0.12,5,1,False,False
254,frame_0324.jpg,129.6,0.1966,0.2862,0.125,0.08,6,1,False,False
255,frame_0323.jpg,129.2,0.1803,0.2377,0.125,0.12,6,1,False,False
256,frame_0110.jpg,44.0,0.1237,0.1993,0.0,0.12,3,0,False,False
